wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
108.5 1.2551440272717903e-07 2.874117058253485e-08
109.5 8.942180641017281e-08 1.866107694452942e-08
110.5 9.810369367823054e-08 2.0018217905676172e-08
111.5 8.706041341332723e-08 1.774012990153587e-08
112.5 8.652447535165445e-08 1.724250482756464e-08
113.5 5.3836346365311563e-08 1.1299536708244196e-08
114.5 6.310207908856951e-08 1.207844626227836e-08
115.5 7.117909423166257e-08 1.3047522435241251e-08
116.5 8.004519068919315e-08 1.4119943565929637e-08
117.5 2.6027457512688677e-07 5.10705757235152e-08
118.5 9.702933067307311e-08 1.663239988254991e-08
119.5 1.5071732774220082e-07 3.222996141595583e-08
120.5 4.1564459181717833e-07 9.74875935849091e-08
121.5 1.6494697581752394e-05 3.394279150390289e-06
122.5 1.50746918944971e-07 2.893344805128917e-08
123.5 8.94490717362018e-08 1.737053437857104e-08
124.5 6.02433450344281e-08 1.182270525508637e-08
125.5 5.143616626726927e-08 9.489277926835584e-09
126.5 6.274323077862284e-08 1.3195593792205465e-08
127.5 3.123976791246025e-08 5.693540315104933e-09
128.5 2.2583185911102957e-08 4.082609666237273e-09
129.5 2.8559425950754263e-08 5.373078207952323e-09
130.5 1.78051419989873e-07 3.249831849743573e-08
131.5 2.6522333525381716e-08 4.970847406777338e-09
132.5 1.939177064361671e-08 3.6026405378559505e-09
133.5 1.6948938721048866e-07 3.410934346756084e-08
134.5 1.4928483123666587e-08 2.823496707858187e-09
135.5 3.163129012376442e-08 5.5064578888338056e-09
136.5 1.7803859591575424e-08 3.184949612084945e-09
137.5 1.7476741399491246e-08 3.1644802790096963e-09
138.5 1.5905191756019023e-08 2.815007068774786e-09
139.5 3.748348700076252e-08 7.4287527722222324e-09
140.5 2.9366812264665798e-08 5.510070830940629e-09
141.5 1.583320745570489e-08 2.7951495329356694e-09
142.5 1.5546813370206953e-08 2.790119875080349e-09
143.5 1.5623442245576582e-08 2.718081947132134e-09
144.5 1.3839618094363174e-08 2.428477202305955e-09
145.5 1.2907578342097696e-08 2.3308193638375246e-09
146.5 1.3964182240748421e-08 2.419478426574784e-09
147.5 1.5523907511601214e-08 2.6945845895091e-09
148.5 1.3959078127418195e-08 2.4126589190351087e-09
149.5 1.0998274487955681e-08 1.9067250046911403e-09
150.5 1.0818824043850842e-08 1.8575225654205698e-09
151.5 1.0280430430497863e-08 1.7723237850068473e-09
152.5 1.098262392463732e-08 1.9024209929226427e-09
153.5 1.0689445001286779e-08 1.840617183674695e-09
154.5 1.614750309062866e-08 2.8581457062995933e-09
155.5 1.2574335580899437e-08 2.1932510469250396e-09
156.5 1.1026560700247232e-08 1.8914491138064574e-09
157.5 8.500078257116262e-09 1.4613624756499834e-09
158.5 7.209519184621403e-09 1.2345255961674132e-09
